,hq_id,inv_id,inv_name
490,208135,260101,supplier3
491,208135,135504,supplier2
492,208135,3509,supplier2
493,208135,233246,supplier4
494,211556,211556,supplier1
495,211556,2110,supplier2
496,211556,233276,supplier4
497,211556,51547,supplier3
498,211556,3014,supplier3
499,211556,135409,supplier2
500,333306,333306,supplier1
501,333306,233306,supplier4
502,250583,250583,supplier1
503,250583,233316,supplier4
504,250583,5120,supplier2
505,250583,27176,supplier3
506,211825,211825,supplier1
507,211825,382355,supplier4
508,211825,237636,supplier4
509,211825,3512,supplier2
510,211825,1805,supplier2
511,211825,24099,supplier3
512,172619,172619,supplier1
513,172619,237666,supplier4
514,172619,479365,supplier4
515,172619,22177,supplier2
516,512710,512710,supplier1
517,512710,407879,supplier2
518,332207,332207,supplier1
519,332207,1048228,supplier4
520,332207,232300,supplier2
521,332207,185951,supplier2
522,332207,1901025,supplier4
523,127270,127270,supplier1
524,127270,216142,supplier2
525,217935,217935,supplier1
526,217935,204479,supplier2
527,345591,345591,supplier1
528,345591,332099,supplier2
529,324043,324043,supplier1
530,324043,134414,supplier2
531,324043,8763,supplier3
532,324043,91478,supplier4
533,588069,588069,supplier1
534,588069,365701,supplier2
535,501797,501797,supplier1
536,545845,545845,supplier1
537,229677,229677,supplier1
538,168256,168256,supplier1
539,168256,35467,supplier3
540,168256,6312,supplier3
541,466315,466315,supplier1
542,466315,51942,supplier3
543,251516,251516,supplier1
544,251516,161192,supplier2
545,277972,277972,supplier1
546,567240,567240,supplier1
547,567240,380272,supplier2
548,299177,299177,supplier1
549,299177,253709,supplier2
550,423918,423918,supplier1
551,423918,254067,supplier2
552,438994,438994,supplier1
553,438994,471609,supplier2
554,172257,172257,supplier1
555,172257,939745,supplier4
556,368087,368087,supplier1
557,368087,201969,supplier2
558,368087,2022405,supplier4
559,326795,326795,supplier1
560,326795,254086,supplier2
561,326795,437035,supplier4
562,544578,544578,supplier1
563,274525,274525,supplier1
564,501875,501875,supplier1
565,501875,464790,supplier2
566,272813,272813,supplier1
567,272813,112580,supplier2
568,272813,21153,supplier3
569,456770,456770,supplier1
570,392303,392303,supplier1
571,392303,225536,supplier2
572,392303,988935,supplier4
573,392303,1222578,supplier4
574,541846,541846,supplier1
575,541846,196548,supplier2
576,452190,452190,supplier1
577,452190,234990,supplier2
578,422171,422171,supplier1
579,422171,210113,supplier2
580,422171,1452568,supplier4
581,528899,528899,supplier1
582,528899,7370,supplier3
583,528899,182587,supplier2
584,528899,923325,supplier4
585,528899,22632,supplier3
586,406022,406022,supplier1
587,406022,151061,supplier2
588,587184,587184,supplier1
589,587184,172363,supplier2
590,294806,294806,supplier1
591,294806,24918,supplier3
592,353858,353858,supplier1
593,353858,203580,supplier2
594,424134,424134,supplier1
595,424134,1172558,supplier4
596,424134,321334,supplier2
597,132410,132410,supplier1
598,132410,6519,supplier2
599,132389,132389,supplier1
600,132389,51855,supplier3
601,132389,53517,supplier2
602,108418,108418,supplier1
603,108418,47972,supplier3
604,577133,577133,supplier1
605,577133,17224,supplier2
606,577133,577485,supplier4
607,594049,594049,supplier1
608,594049,293260,supplier3
609,272092,272092,supplier1
610,272092,83857,supplier2
611,272092,38945,supplier3
612,570378,570378,supplier1
613,570378,259185,supplier3
614,570378,19465,supplier3
615,570378,234535,supplier2
616,370626,370626,supplier1
617,370626,943065,supplier4
618,370626,7655,supplier2
619,370626,8822,supplier3
620,403156,403156,supplier1
621,403156,651605,supplier4
622,403156,107275,supplier2
623,439564,439564,supplier1
624,439564,196331,supplier2
625,439564,1193918,supplier4
626,439564,47277,supplier3
627,439564,571145,supplier4
628,562109,562109,supplier1
629,562109,435005,supplier2
630,562097,562097,supplier1
631,562097,437186,supplier2
632,562118,562118,supplier1
633,562118,435068,supplier2
634,562095,562095,supplier1
635,562095,435007,supplier2
636,562119,562119,supplier1
637,562119,434876,supplier2
638,562086,562086,supplier1
639,562086,434893,supplier2
640,562077,562077,supplier1
